Name,Business Type,Company Type,Ships To,Mailing Address,City,State,Zip,Phone,Fax,Email,Website,Description,Supply Categories,Slug
Countryside Nursery,Grower,,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Countryside Nursery, 23800 NE Airport Rd., Aurora, OR 97002",Aurora,OR,97002,503-678-0511,503-678-0332,afarley@countrysidenursery.com,http://www.countrysidenursery.com/,"Countryside Nursery provides an Oregon-grown line of quality plant material ranging from the basics to the unusual.  We offer both field-grown specimens and container-grown plants to fill the needs of landscapers and retailers alike.  We specialize in Japanese Maples, grafted conifers, broadleaves, and flowering shrubs.  We supply local landscapers at our Oregon location as well as shipping to most states.",Custom Grafting - Grape Vines,countryside-nursery
Craig Spinks Nursery Inc.,Grower,,"Northeast, Upper Midwest, Mid-Atlantic, Pacific Northwest","Craig Spinks Nursery Inc., 6358 SE 302nd Ave., Gresham, OR 97080",Gresham,OR,97080,503-663-5851,503-663-9532,jillspinks@yahoo.com,,Wholesale grower of B&B and container ornamentals.,,craig-spinks-nursery-inc
Creekside Valley Farms,"Nursery, Grower",,,,,,,503-864-4422,503-864-4423,office@creeksidevalleyfarms.com,http://www.creeksidevalleyfarms.com,"Creekside Valley Farms is a locally owned, mid-sized farming operation located in Yamhill County, the heart of the fertile Willamette Valley. Grass seed, nursery stock, garlic and hazelnuts are the main crops we grow, however, wheat, radish and other seed crops are used as rotation.We also offer custom services such as ground prep, planting and harvesting as well as spraying, fertilizing and trucking.",Wire Stakes,creekside-valley-farms
CwM-H2O LLC,Allied Service or Supplier,,,,,,,503-954-1326,,bob.long@cwmh2O.com,http://www.cwmh2O.com,CwM-H2O LLC is a water resources consulting firm that assists nursery clients with all water rights permitting issues from application for new water rights to certificates of beneficial use.  We are experts in water supply permitting in surface water and groundwater supply.Contact us for Certified Water Right Examiner Services.,"Certified Water Right Examiner Services; Water Analysis Consulting, Irrigation Suitability; Water Right Consulting and Permitting",cwm-h2o-llc
D Stake Mill | UFPI McMinnville LLC,Allied Service or Supplier,,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","D Stake Mill | UFPI McMinnville LLC, PO Box 1124, McMinnville, OR 97128",McMinnville,OR,97128,503-434-5525,503-472-8624,dan@dstakemill.com,http://www.dstakemill.com/,"Suppliers of stakes, lath, tilt stickers, shipping racks and shelves, pallets, pallet stock, containers, custom cut lumber and tree stakes. Treated and non-treated lumber available. Packaging supplies include stretch wrap, banding and corner protectors.","GATE MATERIAL; LOADING/TILT STICKS; LUMBER; PALLETS, SKIDS and BOXES; Plastic Containers; POLY FILM; Wood Stakes",d-stake-mill-ufpi-mcminnville-llc
DAS Nursery,Grower,,,"DAS Nursery, 23400 NE Ramsey Rd., Newberg, OR 97132",Newberg,OR,97132,503-554-9836,,steadman.peter@gmail.com,,,,das-nursery
DFS,,,,"DFS, 6372 SE 22nd St, Gresham, OR 97080",Gresham,OR,97080,503-878-7033,503-676-3477,info@diamondfreightsolutions.net,https://www.diamondfreightsolutions.net,"DFS was built by a partnership who have lived the freight life, not from a corner office, but from the dock, the driver's seat, and the long days where details matter most. That hands-on experience shaped a company designed to do things differently: tighter execution, clearer communication, and zero tolerance for guesswork. Our in-house assets and a network of family-based carriers is a quick phone call away to get your freight on a truck!",Intermodal Transportation / Logistics; Local and Long Haul Transportation and Logistics; TRANSPORTATION and LOGISTICS; TRUCKERS and FREIGHT BROKERS,dfs
DP Industries Inc.,Re-Wholesaler/Broker,Plants,,"DP Industries Inc., 200 Gray Rd., Vassalboro, OR 04989",Vassalboro,OR,04989,207-873-0431,,mike.dugal@dpind.com,https://www.dpind.com,,,dp-industries-inc
Dancing Oaks Nursery and Gardens,"Grower, Garden Center",,,"Dancing Oaks Nursery and Gardens, 17900 Priem Rd., Monmouth, OR 97361-9508",Monmouth,OR,97361-9508,503-838-6058,,101@example.com,http://www.dancingoaks.com,"A collectors mix of unusual bulbs, perennials, trees and shrubs set within a large display garden.",,dancing-oaks-nursery-and-gardens
Dave Martin Farms,Grower,Plants,,"Dave Martin Farms, PO Box 9489, Brooks, OR 97305",Brooks,OR,97305,503-951-2745,,anne.davemartinfarms@gmail.com,,,,dave-martin-farms
Dave Wilson Nursery,"Grower, Greenhouse",,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada",,,,,530-230-8733,209-874-1920,lloyd@davewilson.com,https://www.davewilson.com/,"Dave Wilson Nursery Founded in 1938 has become one of the largest Bareroot Fruit Tree Growers in the Country. With over 10 variety of Rootstocks to accommodate any soil condition, as well as many Proprietary Varieties bred By Zaigers, we provide the world Apriums, Pluots, Pluerries and more. In addition, Dave Wilson has added Small Fruits to our Offering in 4x4x9” Pots, including Berries, Figs, and Pomegranates. Contact Lloyd Cassidy for catalog and availability. Cell 530-230-8733 Fax 209-874-2274",,dave-wilson-nursery
Davy Crockett Tree Farms,"Grower, Greenhouse",,,,,,,503-729-0893,,bcrockett763@msn.com,,"Timber, Christmas trees, nursery, greenhouse, vegetables.",,davy-crockett-tree-farms
Dayton Bag & Burlap,Allied Service or Supplier,,,"Dayton Bag & Burlap, 13019 Finlay Rd. NE, Silverton, OR 97381",Silverton,OR,97381,503-951-3074,503-873-0599,rbasile@daybag.com,http://www.daybag.com/,One-stop shopping for all your digging supplies direct from the manufacturer.,"Burlap; Erosion Control Netting; NURSERY SQUARES; ROOT BALL SUPPORTS, Wire; STAPLES, NAILS and WIRE; TREE GUARDS, Corrugated Plastic; TWINE; WIRE BASKETS (B&B)",dayton-bag-burlap
DeWilde's Wholesale Nurseries Inc.,Grower,,"Rocky Mountain, Pacific Northwest, Canada","DeWilde's Wholesale Nurseries Inc., 6930 Old Guide Rd., Lynden, WA 98264-9015",Lynden,WA,98264-9015,360-398-1960,360-398-8613,28@example.com,,"Over 300 acres of field-grown deciduous shade and flowering trees, conifers and ornamental shrubs.",,dewildes-wholesale-nurseries-inc
Del Norte Harvesting LLC,,,,"Del Norte Harvesting LLC, 518 W. Columbia Ave, Batesburg, SC 29006",Batesburg,SC,29006,863-441-5139,,delnorteharvesting@gmail.com,,,,del-norte-harvesting-llc
Digger Magazine,Allied Service or Supplier,,,,,,,503-682-5089,503-682-5099,advertising@oan.org,http://www.diggermagazine.com/,"Diggeris a monthly nursery trade magazine that focuses on industry trends, regulations, research, marketing and plants. In August the magazine becomesDigger Farwest Edition, with all the features ofDiggerplus a complete guide to the annual Farwest Show, one of North America's top-attended nursery industry trade shows. Display advertising in Digger is a great way to reach nursery industry professionals in the Northwest and across the country. Our employment classifieds are a great way to find your next job as well as your next superstar employee.",Advertising; Classified Advertising; HORTICULTURAL MARKETING; MAGAZINES; MARKETING; NEWS; PUBLICATIONS; PUBLISHING,digger-magazine
Dinesen Nurseries Ltd.,Grower,,,"Dinesen Nurseries Ltd., 2110 272 St., Aldergrove, BC V4W 2R1",,,,604-856-2290,604-856-2243,office@dinesen.ca,http://dinesen.ca,"Supplier of shade trees, shrubs, perennials and ground cover.",,dinesen-nurseries-ltd
Dinihanian Floral Products Inc.,Grower,,Pacific Northwest,"Dinihanian Floral Products Inc., 15005 NW Cornell Rd., Beaverton, OR 97006-5632",Beaverton,OR,97006-5632,503-645-1546,503-645-0635,29@example.com,,,,dinihanian-floral-products-inc
Dinsdale Nursery,Grower,,Pacific Northwest,"Dinsdale Nursery, 19540 SW Conzelmann Rd., Sherwood, OR 97140-8707",Sherwood,OR,97140-8707,503-925-9292,503-625-1881,sales@dinsdalenursery.com,http://www.dinsdalenursery.com/,"Wholesale grower specializing in perennials, shrubs and Pacific NW native plants to retailers and landscape contractors, providing a wide selection of high-quality, landscape-ready plants.",,dinsdale-nursery
Dip 'N Grow Inc.,Allied Service or Supplier,,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest","Dip 'N Grow Inc., PO Box 1888, Clackamas, OR 97015-1888",Clackamas,OR,97015-1888,503-496-5120,503-496-5070,sales@dipngrow.com,http://www.dipngrow.com/,"Maker of liquid rooting hormone concentrate, containing both IBS and NAA, for successful rooting of all types of cuttings. Product is absorbed into the cutting stem more evenly and easily, increasing rooting success.",ROOTING COMPOUNDS,dip-n-grow-inc
Direct Labor Inc.,Allied Service or Supplier,Business Services & Supplies,,"Direct Labor Inc., 1049 SW Baseline St., Ste. C375, Suite C-375, Hillsboro, OR 97123",Hillsboro,OR,97123,503-640-1996,503-640-1995,veroa@directlabor.com,http://www.directlabor.com/,,EMPLOYMENT SERVICES,direct-labor-inc
Doane Creek Nursery,Grower,,"Northeast, Upper Midwest, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest","Doane Creek Nursery, PO Box 1616, Boring, OR 97009-1616",Boring,OR,97009-1616,503-663-5158,503-663-5158,doanecreeksales@gmail.com,,"Wholesale grower of Japanese maples, dogwoods and conifers. Excellent selection of high-quality grafted liners, B&B, bare-root and container plants. Large number of bare-root and potted Japanese maples available.",,doane-creek-nursery
Don Marjama Nursery Co. Inc.,"Nursery, Grower",Plants,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Don Marjama Nursery Co. Inc., 11333 SE Bluff Rd., Sandy, OR 97055-9543",Sandy,OR,97055-9543,503-668-8083,503-668-4833,sales@donmarjamanursery.com,http://www.donmarjamanursery.com/,"Quality that speaks
for itself. 47 years of growing premium container and field-grown nursery
stock.",,don-marjama-nursery-co-inc
Don Schmidt Nursery Inc.,Grower,,"Northeast, Upper Midwest, Mid-Atlantic, Southeast & Gulf, Pacific Northwest, Canada",,,,,503-668-4659,503-668-4659,donschmidtnursery@gmail.com,http://www.donschmidtnursery.com/,"Don Schmidt Nursery is located on 200 acres in Boring, Oregon and has been family owned and operated since 1939. We specialize in Japanese Maple, Dogwood and Flowering Cherry varieties. Our over 350 varieties are grown on a six to ten year growth cycle from seedlings or by grafting. They are cultivated using dry land farming techniques to produce a superior plant capable of withstanding higher levels of environmental stress while enhancing hardiness and plant vigor.After Jim Schmidt's untimely passing in 2009, his son Eric continues to expand on his father's legacy of Japanese Maple.",,don-schmidt-nursery-inc
Down To Earth Distributors Inc.,"Allied Service or Supplier, Garden Center, Re-Wholesaler/Broker",,"Rocky Mountain, Southwest, Pacific Northwest","Down To Earth Distributors Inc., PO Box 1419, Eugene, OR 97440-1419",Eugene,OR,97440-1419,541-485-5932,541-485-7141,mserra@downtoearthdistributors.com,http://www.downtoearthdistributors.com/,"Supplier of all-natural fertilizers, composts, soils, amendments and pest controls. Distributor of practical garden products such as pottery, tools, gloves and iron trellises.",SOIL AMENDMENTS,down-to-earth-distributors-inc
Drakes Crossing Nursery,"Nursery, Grower, Greenhouse","Plants, Specialty Nurseries & U-Cut Christmas Trees","Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest",,,,,503-873-4932,503-873-4933,info@drakescrossingnursery.com,http://www.drakescrossingnursery.com/,"Supplying
  both plug and bare root seedlings for Christmas trees, reforestation,
  nursery stock and native restoration.
  Family-owned and operating in the Cascade foothills.",,drakes-crossing-nursery
Dreamtree Cloud Inc.,Allied Service or Supplier,,,"Dreamtree Cloud Inc., 17070 NE 115th Way, Redmond, WA 98052",Redmond,WA,98052,425-954-7760,,gopal@dreamtree.me,https://dreamtree.cloud,,,dreamtree-cloud-inc
Dunn Carney LLP,Allied Service or Supplier,,,"Dunn Carney LLP, 851 SW 6th Ave; Ste 1500, Portland,  97204",,,,503-224-6440,,ddrazan@dunncarney.com,https://www.dunncarney.com/,,,dunn-carney-llp
Durkin's Nursery,"Nursery, Grower","Plants, Specialty Nurseries & U-Cut Christmas Trees","Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Durkin's Nursery, PO Box 474, 24301 S. Beavercreek Rd., Beavercreek, OR 97004",Beavercreek,OR,97004,503-781-7503,,mdurkin@att.net,http://www.durkinsnursery.com/,Grower and propagator of high-quality select B&B conifers and limited deciduous trees at a competitive price.,,durkins-nursery
Dutchman Nursery,"Nursery, Landscape Contractor","Plants, Landscape Professionals",Pacific Northwest,"Dutchman Nursery, 17049 Mountain View Lane NE, Woodburn, OR 97071",Woodburn,OR,97071,503-982-5084,,office@pac-green.com,http://www.pac-green.com,"Wholesale grower of North West Native plants.  Wetland, riparian and emergent plants, trees, shrubs and groundcovers.  Containers range from 4"" to 5 gal.Our plants are grown for restoration and landscape projects.",,dutchman-nursery
E.B. Stone & Son Inc.,Allied Service or Supplier,,"Southwest, Pacific Northwest","E.B. Stone & Son Inc., PO Box 550, Suisun City, CA 94585-0550",Suisun City,CA,94585-0550,707-426-2500,707-429-8960,fpierce@ebstone.org,http://www.ebstone.org/,"Quality fertilizers, soil amendments and potting soils. E.B. Stone and Greenall brands. Serving gardeners since 1916.",,eb-stone-son-inc
EHR,Re-Wholesaler/Broker,,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest","EHR, 939 Helen Ruth Dr., Fort Wright, KY 41017",Fort Wright,KY,41017,859-578-3535,859-578-2266,info@ehrnet.com,http://www.ehrnet.com/,,,ehr
ENVU LLC,Allied Service or Supplier,Business Services & Supplies,,,,,,984-327-8789,,edgar.tuna@envu.com,https://www.us.envu.com,ENVU works collaboratively with professional growers to deliver innovative pest management solutions.,Pest Management Consulting,envu-llc
EVL Nursery Inc.,"Nursery, Grower, Greenhouse",Plants,"Pacific Northwest, Canada","EVL Nursery Inc., 22274 64th Ave., Langley, BC V2Y 2M8",,,,604-514-5060,604-514-5068,office@evlnursery.com,http://www.evlnursery.com,"Propagator
  and grower of top quality shrubs, grasses, vines, perennials and ground
  covers. Offering more than 300 varieties, primarily 4-inch and gallon
  containers. Servicing the Pacific Northwest with weekly deliveries.",,evl-nursery-inc
EVO Payments,Allied Service or Supplier,Business Services & Supplies,,,,,,888-564-9564,888-564-9565,angelique.lafrance@globalpay.com,http://www.EVOPayments.us,"We build lasting partnerships by providing our clients with innovative payment technologies, authentic transparency, and world-class service. We automate cost reduction and increase cash flow for our clients by initiating streamlined payment processes and leveraging our proprietary Interchange Management® Technology to assure the lowest rates on every transaction. From initial analysis through implementation, EVO B2B is dedicated to the most transparent value-added business relationships with B2B companies worldwide.EVO B2B continues to invest in payments technology, infrastructure and security that forms the backbone for our innovative B2B solutions.",Credit Card Processing / Financial Services,evo-payments
Earth Science Products,Allied Service or Supplier,,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada, Asia , Europe","Earth Science Products, PO Box 327, Wilsonville, OR 97070",Wilsonville,OR,97070,503-678-1216,503-678-3374,info@earthscienceproducts.com,http://www.earthscienceproducts.com/,Manufacturer of Wood's Rooting Hormone. Manufacturer of Condor soil amendment products.,HORMONE FORMULAS; LANDSCAPE CONTRACTOR SUPPLIES; Landscape Maintenance Services; PROPAGATION SUPPLIES; ROOTING COMPOUNDS; SOIL AMENDMENTS,earth-science-products
EarthScout,Allied Service or Supplier,,,"EarthScout, 9325 Winnetka Ave N, Brooklyn Park, MN 55445",Brooklyn Park,MN,55445,877-443-7632,,john.smith@earthscout.com,http://www.earthscout.com,,,earthscout
Earthly Creations Inc.,"Landscape Contractor, Landscape Maintenance",Landscape Professionals,,"Earthly Creations Inc., 7828 SE 32nd Ave., Portland, OR 97202-8555",Portland,OR,97202-8555,503-209-2226,,will@earthlycreationsinc.com,,Landscape Construction & Maintenance.,Landscape Construction; Landscape Maintenance Services,earthly-creations-inc
Eason Horticultural Resources,"Supplier, Re-Wholesaler/Broker",,,,,,,970-409-2829,,mjohnson@ehrnet.com,http://www.ehrnet.com,"Hello, OAN members. My name is Matt B. Johnson, EHR’s Nursery Sales Representative in Colorado.I focus on partnering with OAN growers to deliver the best quality products to our customers throughout Colorado, New Mexico, and intermountain states…Please contact me to discuss how we can connect and grow our businesses together.",,eason-horticultural-resources
East Creek Nursery,Grower,,"Northeast, Mid-Atlantic, Pacific Northwest","East Creek Nursery, 26060 S Bolland Rd., Canby, OR 97013-8150",Canby,OR,97013-8150,503-849-8929,503-266-7164,ecreek@web-ster.com,,"East Creek Nursery grows a wide variety of grafted conifers and Japanese maples from small to specimen size. We also grow espalier apple, pear and other fruit trees in containers.",,east-creek-nursery
East Multnomah Soil and Water Conservation District,Other,"Plants, Landscape Professionals",,,,,,503-222-7645,,kelley@emswcd.org,http://www.emswcd.org,"We are a local government agency that works on a voluntary basis with farmers, ranchers, and other land owners and managers east of the Willamette River in Multnomah County to help care for land and water. We provide technical and financial assistance to enhance farm and land management practices.For more information, see:http://www.emswcd.org/",,east-multnomah-soil-and-water-conse
Ed Staub & Sons,Allied Service or Supplier,,,"Ed Staub & Sons, 913 NE 1st, Bend, OR 97701",Bend,OR,97701,541-330-8356,541-323-2170,kathy.temple@edstaub.com,https://www.edstaub.com/,"Ed Staub & Sons is proud to offer special pricing to OAN members. We are a family-owned business, providing both fuel and lubricants for growers throughout Central Oregon. OAN and Ed Staub & Sons have partnered to provide a member benefit fuel program, offering access to both Pacific Pride and CFN commercial fueling networks. This benefit provides an opportunity for OAN members to drive down fuel costs by taking advantage of collective purchasing power to qualify for wholesale pricing. Call today for details.",FUEL,ed-staub-sons
Edward Jones,Other,Business Services & Supplies,,"Edward Jones, 1389 Meridian Drive, Woodburn, OR 97071",Woodburn,OR,97071,503-981-7040,888-784-1581,shawn.moyer-demarre@edwardjones.com,https://www.edwardjones.com/us-en/financial-advisor/shawn-moyer-demarre,,,edward-jones_0
Ekstrom & Schmidt Nursery LLC,Grower,Plants,,,,,,503-328-6680,503-328-8578,ekstrom.schmidt@gmail.com,http://www.ekstrom-schmidt.com,"We are a family owned operation specializing in a large variety of B&B and containerized nursery stock.  We offer a great selection of flowering trees, shrubs, Japanese maples, conifers and shade trees.",,ekstrom-schmidt-nursery-llc
Ekstrom Nursery Inc.,Grower,Plants,"Northeast, Upper Midwest, Mid-Atlantic, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Ekstrom Nursery Inc., 1600 SE 282nd Ave., Gresham, OR 97080-9014",Gresham,OR,97080-9014,503-663-4035,503-663-2898,ekstrom.nsy@gmail.com,http://www.ekstromnursery.com/,"Field grower of a large variety of B&B trees and shrubs, shade, flowering, conifers and shrubs.",,ekstrom-nursery-inc
Eliet USA Inc,,,,"Eliet USA Inc, 2850 North Dug Gap Rd., Dalton, GA 30720",Dalton,GA,30720,412-367-5185,,info@elietusa.com,,,,eliet-usa-inc
Elisabeth Miller Botanical Garden,Educator or Researcher,,Pacific Northwest,"Elisabeth Miller Botanical Garden, PO Box 77377, Seattle, WA 98177-0377",Seattle,WA,98177-0377,206-362-8612,206-362-4136,gpp@millergarden.org,http://www.greatplantpicks.org/,"Great Plant Picks is an educational awards program committed to building a comprehensive palette of outstanding plants for Pacific Northwest gardens. Awards are based on the combined expertise of over 30 horticulturists from Washington, Oregon and British Columbia. GPP originates at the Elisabeth Carey Miller Botanical Garden in Seattle, Wash.",,elisabeth-miller-botanical-garden
Energy Trust of Oregon,Educator or Researcher,,,,,,,866-368-7878,503-926-9278,whitney@skygardensdesign.com,http://www.energytrust.org/ag,"Energy Trust of Oregon can help Oregon nurseries and greenhouses lower energy use and reduce operating costs. Nurseries that upgrade to energy-efficient lighting, heating, refrigeration, irrigation or installtheir own solar or wind systems can receive cash incentives and technical resources to help them get more from their energy. Energy Trust is an independent nonprofit organization dedicated to helping utility customers of Portland General Electric, Pacific Power, NW Natural and Cascade Natural Gas benefit from saving energy and generating renewable power.Contact us to learn how to access these incentives.",Energy Incentives,energy-trust-of-oregon
Engel's Evergreens LLC,Grower,Plants,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest","Engel's Evergreens LLC, 45100 SW Seghers Rd., Gaston, OR 97119",Gaston,OR,97119,503-359-5757,503-357-5780,engels.evergreens@frontier.com,http://www.engelsevergreens.com,"Fruit, Shade and Flowering Trees. Fresh Christmas greens and wreaths.",Fundraisers (Plant Sales),engels-evergreens-llc
Enstrom Landscape Management Inc.,Nursery,,,"Enstrom Landscape Management Inc., 13300 SW Galbreath Dr., Sherwood, OR 97140",Sherwood,OR,97140,503-260-4807,,pat@enstromlandscape.com,,,,enstrom-landscape-management-inc
Ernst Irrigation,Allied Service or Supplier,,,,,,,503-633-1111,503-633-4114,patrickd@ernstirrigation.com,,"Ernst Irrigation is a full service agricultural dealership which provides your needs for irrigation agricultural equipment parts, hardware, electrical system design and services, tractor sales and repair, implement repair, ATV and lawnmower repair. We have an amazing staff with an incredible scope of knowledge!",Irrigation Controllers; IRRIGATION DESIGN and SERVICE; Irrigation Systems Consulting,ernst-irrigation
Ernst Nursery & Farms LLC,Grower,Plants,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Ernst Nursery & Farms LLC, PO Box 460, St. Paul, OR 97137-0460",St. Paul,OR,97137-0460,503-633-8366,503-633-8367,sales@ernstnursery.com,,,,ernst-nursery-farms-llc
Eschenfelder Farms,Grower,Plants,,"Eschenfelder Farms, 8456 S Heinz Road, Canby, OR 97013",Canby,OR,97013,503-314-7708,,mikaela@eschenfelderfarms.com,https://eschenfelderfarms.com,,,eschenfelder-farms
Eshraghi Nurseries LLC,Grower,Plants,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Eshraghi Nurseries LLC, 26985 SW Farmington Rd., Hillsboro, OR 97123",Hillsboro,OR,97123,503-628-8685,503-628-1426,sales@eshraghinursery.com,http://www.eshraghinursery.com/,"Premier Plants, Exceptional Service – Homegrown Japanese Maples, Conifers, and More, Cultivated with Care and Expertise.At Eshraghi Nursery, we grow over75 varieties of Japanese maples, each selected for exceptional color, refined form, and unique character. To ensure strength and consistency, we even produce our own rootstock for the healthiest starts. Ourgrafted specialty conifers— includingPinus,Cedrus,Chamaecyparis,Abies, andPicea— offer bold color, strong structure, and lasting performance. We also graft select hardwoods likeGinkgo,Cornus, andFagus, adding rare beauty to our collection. Alongside these specialties, we produce trusted staples — Arborvitae, Azalea,Buxus,Hydrangea,Juniperus,Spiraea, andPicea— grown for uniformity, vigor, and reliability in the field. Whether you’re sourcing rare specimens or dependable classics,Eshraghi delivers plants that stand out — backed by knowledge, consistency, and a legacy of quality.",,eshraghi-nurseries-llc
Evans Farms LLC,"Grower, Landscape Contractor, Garden Center, Landscape Maintenance, Landscape Designer",,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Evans Farms LLC, 22289 S Highway 213, Oregon City, OR 97045",Oregon City,OR,97045,503-632-3475,503-632-4967,sales@evansfarms.net,http://www.evansfarms.net/,"Wholesale grower of conifers, broadleafed and ornamental nursery stock.",,evans-farms-llc
Everbearing Services,"Allied Service or Supplier, Other",Business Services & Supplies,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Everbearing Services, 6835 SE 78th Ave., Portland, OR 97206",Portland,OR,97206,503-875-8364,,rmccabe@everbearingservices.com,http://www.everbearingservices.com/,"Everbearing Services is a full-service digital marketing agency that works exclusively with landscaping businesses. Our exclusive programs have helped companies in the green industry grow by pairing proven marketing strategies with real-world industry knowledge. We support businesses at every stage, from startup through regional expansion, with services built to drive measurable results.Our team provides a full range of marketing tools, including search engine optimization (SEO, AEO, GEO), local SEO, reputation management, marketing automation, AI tools, website and app development, social media management, email and SMS marketing, digital advertising, and custom content writing.We understand the challenges landscapers face and offer practical solutions that help them compete, attract better leads, and grow with confidence.",HORTICULTURAL MARKETING; MARKETING; MULTI-MEDIA MARKETING; WEBSITE DESIGN,everbearing-services
Everde Growers®,Grower,Plants,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada",,,,,800-542-0209,,smitchell@everde.com,https://www.everde.com/,"Everde Growers aspires to be the premier national grower of excellent quality plants, utilizing cutting-edge technology to enhance production techniques and continuously improve the products and services for our customers, while maintaining a safe, healthy, and rewarding work environment for our employees.We have 15 farms across the country with over 6,700 acres in production, growing over 33,000,000 plants every year.Everde Growers doesn’t just grow quality plants and trees, we grow beautiful landscapes. We grow the shade trees planted around a modern glass office building, the flowering shrubs that add a touch of hospitality to a home in Texas, and the stately palms that line the entrances of sports arenas and campuses.We grow our plants with pride to serve landscape contractors, garden retailers, wholesalers, and landscape architects, helping them provide the best value for their customers.Learn more about how we’ve grown to be the company that we are today.",,everde-growers
Evergreen Growers Supply LLC,Allied Service or Supplier,,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest","Evergreen Growers Supply LLC, 15875 SE 114th Ave., Ste. G, Clackamas, OR 97015",Clackamas,OR,97015,503-908-1946,503-908-1946,order@evergreengrowers.com,http://www.evergreengrowers.com/,"Good bugs are good for your business. We supply beneficial insects and bio-pesticides for fungus gnats, thrips, mites, aphids, mealybugs, root weevils and shore flies. We supply: Hypoaspis, cucumeris, Aphidoletes, Aphidius, fallacis, persimilis, Stethorus, Encarsia, Delphastus and Atheta. Beneficial insects can be economical and reduce the amount of insecticides used.",Beneficial Insects,evergreen-growers-supply-llc
F & B Farms & Nursery,"Grower, Greenhouse",Plants,Pacific Northwest,,,,,503-982-2748,866-608-3709,sales@fandbfarms.com,http://www.fandbfarms.com/,"Year-round wholesale growers of finished annuals, organic vegetables and herbs, bulbs and perennials, potted blooming indoor plants, fall decor items and hanging baskets for independent garden centers, florists and retailers. Also provides 2-inch annual starts for wholesale growers. We ship twice a week to most areas within western Oregon and Washington, weekly to the Central and Eastern Washington, Central  / Eastern / Southern Oregon, Idaho and the Coast. Please visit our website for a current availability and to order online.",,f-b-farms-nursery
F & L Lumber Inc.,"Allied Service or Supplier, Re-Wholesaler/Broker",Production Services & Supplies,Pacific Northwest,,,,,503-803-1175,503-212-0160,fllumber@aol.com,,"Lumber manufacturer specializing in field pallets, stack stakes, shipping gates and rack kits, tree stakes, pallet repair boards, and trellises.","LUMBER; PALLETS, SKIDS and BOXES; RACKS, Display and Transportation; Wood Stakes",f-l-lumber-inc
Fairdale Nursery,Grower,,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","Fairdale Nursery, 23800 NE Airport Rd., Aurora, OR 97002",Aurora,OR,97002,503-678-0511,503-678-0332,afarley@fairdalenursery.com,http://www.fairdalenursery.com/,Fairdale Nursery works together with Countryside Nursery to offer a complete selection of material for the landscaper and retailer alike. Check out our plant listings under Countryside Nursery.,,fairdale-nursery
Fairway Nursery,Grower,,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest","Fairway Nursery, 16172 SE Keller Rd., Damascus, OR 97089",Damascus,OR,97089,503-658-2520,503-658-3003,blairfarm@frontier.com,,Wholesale grower of conifers and ornamental B&B and container nursery stock.,,fairway-nursery
